# ell TT
350 0.000230942
450 0.000148123
550 0.000106143
650 8.05687e-05
750 6.40976e-05
850 5.29867e-05
950 4.50859e-05
1050 3.90723e-05
1150 3.45761e-05
1250 3.08606e-05
1350 2.80442e-05
1450 2.57883e-05
1550 2.38656e-05
1650 2.22415e-05
1750 2.0974e-05
1850 1.9754e-05
1950 1.87454e-05
2050 1.78662e-05
2150 1.70708e-05
2250 1.64288e-05
2350 1.57865e-05
2450 1.52495e-05
2550 1.48222e-05
2650 1.43811e-05
2750 1.39919e-05
2850 1.35946e-05
2950 1.32865e-05
3050 1.29684e-05
3150 1.2725e-05
3250 1.25121e-05
3350 1.22527e-05
3450 1.20001e-05
3550 1.17669e-05
3650 1.16026e-05
3750 1.14146e-05
3850 1.12721e-05
3950 1.11219e-05
4050 1.0946e-05
4150 1.082e-05
4250 1.06767e-05
4350 1.05612e-05
4450 1.04385e-05
