# ell TT
350 0.000417421
450 0.000284396
550 0.000212443
650 0.000170174
750 0.000139408
850 0.000120564
950 0.000108017
1050 9.75534e-05
1150 8.96685e-05
1250 8.29808e-05
1350 7.86719e-05
1450 7.49123e-05
1550 7.21186e-05
1650 6.91397e-05
1750 6.75233e-05
1850 6.50754e-05
1950 6.34869e-05
2050 6.20847e-05
2150 6.056e-05
2250 5.94759e-05
2350 5.84902e-05
2450 5.75212e-05
2550 5.68886e-05
2650 5.60844e-05
2750 5.53587e-05
2850 5.45219e-05
2950 5.38861e-05
3050 5.32324e-05
3150 5.29017e-05
3250 5.2578e-05
3350 5.19266e-05
3450 5.13287e-05
