# ell TT EE TE
350 1.54347e-06 0 0
450 -1.506e-05 0 0
550 -2.70741e-05 0 0
650 -2.27822e-05 0 0
750 -2.37293e-05 0 0
850 -2.03887e-05 0 0
950 -1.57538e-05 0 0
1050 -1.25022e-05 0 0
1150 -1.01099e-05 0 0
1250 -7.54842e-06 0 0
1350 -4.5797e-06 0 0
1450 -2.60949e-06 0 0
1550 1.42281e-08 0 0
1650 1.38468e-06 0 0
1750 3.30493e-06 0 0
1850 4.34409e-06 0 0
1950 5.73182e-06 0 0
2050 7.04084e-06 0 0
2150 7.88377e-06 0 0
2250 8.68197e-06 0 0
2350 9.87162e-06 0 0
2450 1.05295e-05 0 0
2550 1.1182e-05 0 0
2650 1.17536e-05 0 0
2750 1.22456e-05 0 0
2850 1.27309e-05 0 0
2950 1.30517e-05 0 0
3050 1.34119e-05 0 0
3150 1.38622e-05 0 0
3250 1.4215e-05 0 0
3350 1.44292e-05 0 0
3450 1.46601e-05 0 0
