# ell TT
350 0.000327166
450 0.000218463
550 0.000160509
650 0.000125584
750 0.000101622
850 8.58762e-05
950 7.49597e-05
1050 6.62236e-05
1150 5.95542e-05
1250 5.4064e-05
1350 5.01164e-05
1450 4.68259e-05
1550 4.41914e-05
1650 4.16995e-05
1750 4.00044e-05
1850 3.80669e-05
1950 3.66527e-05
2050 3.53992e-05
2150 3.41469e-05
2250 3.32025e-05
2350 3.2341e-05
2450 3.15231e-05
2550 3.09118e-05
2650 3.02616e-05
2750 2.96677e-05
2850 2.90507e-05
2950 2.85516e-05
3050 2.80479e-05
3150 2.77294e-05
3250 2.74292e-05
3350 2.69858e-05
3450 2.65702e-05
